ArtistId,AlbumId
0PmeWY74IzTbfmYPC3Fsq6,03aZiammv5cH4nXJ3F1pdX
7hsyLArBqyxYqQF2ODoT3c,03bcFpLPQGanRjJi78JNRF
162DCkd8aDKwvjBb74Gu8b,03CBiPwr9yFsSNtFv5HK7Y
66CXWjxzNUsdJxJ2JdwvnR,03D36t8ODrA8ATvoTStU9P
688fFcubUemQWWoimqNXhW,03DT4SskwOMsiGcWp6C5hp
14cxVSokfnzjWzmzeoavXb,03gbq51oxT0TqEBZ1JSWYe
5oREZfPeedk4nyo1GpqKfU,03gbq51oxT0TqEBZ1JSWYe
60df5JBRRPcnSpsIMxxwQm,03HMOcANauhLD0WNrMkmLU
1GLtl8uqKmnyCWxHmw9tL4,03JPFQvZRnHHysSZrSFmKY
1rJkz5vopfGxTUGFNB3o4G,03K0iYeTVKHyTf0kEBoloy
5LhTec3c7dcqBvpLRWbMcf,03K0iYeTVKHyTf0kEBoloy
7gZfnEnfiaHzxARJ2LeXrf,03KcW1ZhaSnj8pIk1LUNQs
5e1BZulIiYWPRm8yogwUYH,03KYia16AlAgoGNUneay0J
057gc1fxmJ2vkctjQJ7Tal,03mEmnXflyWoGIb9aB9ajq
3tlXnStJ1fFhdScmQeLpuG,03nFfkhtHqQZZqprep3G6r
3PALZKWkpwjRvBsRmhlVSS,03Rl4TjvJVdR2nBUupV7Wf
0SCbttzoZTnLFebDYmAWCm,03uYg5C7TeB2Zu7cCzoAso
01vieJHWhg5Vxk57RmfGau,03YmoAeHoXCilStUmLV1X2
3XkLOVhQv8DBoiclVW8F89,03ZjQekYb7RzW3cF1Bqykd
06wrRMdG6wafMzRysowQi4,0435LOIEHKpZ2sK3tOubvg
5AUqjpsSq7cpjwa3NgHNAx,0435LOIEHKpZ2sK3tOubvg
5PaoMTfl3Ogx0IjuNARPXx,0435LOIEHKpZ2sK3tOubvg
3AQRLZ9PuTAozP28Skbq8V,045la5i4prOgK6GP16KOtM
4GNC7GD6oZMSxPGyXy4MNB,0488X5veBK6t3vSmIiTDJY
6XpaIBNiVzIetEPCWDvAFP,04arXzlpe9GdzQ8yPzAjAE
6rRqxCKHpl9C5Imf2uinft,04BQhBmWuSAD0P7Ko1TopF
5exS0bytCYdixgv02DaCm3,04Bs6WhUpphyNw7EsABuPs
4phGZZrJZRo4ElhRtViYdl,04G0YylSjvDQZrjOfE5jA5
4yiQZ8tQPux8cPriYMWUFP,04g654gY6TmfogGWQLxR4a
