ArtistId,TrackId,Created,Modified
001aJOc7CSQVo3XzoLG4DK,7FGOsvh1fwTvB9fbF4XORz,2020-04-27 18:53:54.3474874,2020-04-27 18:53:54.3474886
001aJOc7CSQVo3XzoLG4DK,7zKAMjkun4SrQMIBqRVsL4,2020-04-27 19:18:51.9429054,2020-04-27 19:18:51.9429068
003f4bk13c6Q3gAUXv7dGJ,2T0d4wna1EMipBasS35A2D,2020-05-01 15:49:52.3688986,2020-05-01 15:49:52.3688998
006ibfxHXj6ewIkihKcaS2,7ysVOPj9Vw8maS3Mh53VU8,2020-04-05 13:50:01.8910202,2020-04-05 13:50:01.8910214
008Nxu9rFNKZab606gkCee,0d0539NEVNkSKJ3RJ5h4eh,2019-01-25 01:12:32.6081237,2019-01-25 01:12:32.6081238
00FQb4jTyendYWaN8pK0wa,03hqMhmCZiNKMSPmVabPLP,2020-02-14 15:53:18.9215805,2020-02-14 15:53:18.9215818
00FQb4jTyendYWaN8pK0wa,0dssTLrqY79Klk6jx2RXCj,2020-02-14 15:53:19.0881932,2020-02-14 15:53:19.0881948
00FQb4jTyendYWaN8pK0wa,0fBSs3fRoh1yJcne77fdu9,2019-01-25 01:12:35.7378401,2019-01-25 01:12:35.7378402
00FQb4jTyendYWaN8pK0wa,0mt02gJ425Xjm7c3jYkOBn,2019-01-25 01:12:45.6444658,2019-01-25 01:12:45.6444659
00FQb4jTyendYWaN8pK0wa,1FaHPLv48VjsTkPCQOH7bv,2019-01-25 01:13:28.0196197,2019-01-25 01:13:28.0196198
00FQb4jTyendYWaN8pK0wa,1gZADNt16Oh23jWyMYRk4p,2019-02-11 21:18:40.8056122,2019-02-11 21:18:40.8056123
00FQb4jTyendYWaN8pK0wa,1Lw2xRuW5fcieRPfoskgog,2019-01-25 01:13:41.9813216,2019-01-25 01:13:41.9813217
00FQb4jTyendYWaN8pK0wa,1Yfgbr2kZrb3u0NP8ioyuk,2019-01-25 01:14:06.2304587,2019-01-25 01:14:06.2304587
00FQb4jTyendYWaN8pK0wa,1Yh4lOCbcskjSfYPDnn7EW,2020-02-27 23:04:13.2946500,2020-02-27 23:04:13.2946513
00FQb4jTyendYWaN8pK0wa,1Ym6aMuT5bliaZMC67AmPp,2020-02-14 15:53:21.5165418,2020-02-14 15:53:21.5165434
00FQb4jTyendYWaN8pK0wa,24h1notzzKOcLZSdRYa7yn,2019-01-25 01:14:14.8413031,2019-01-25 01:14:14.8413032
00FQb4jTyendYWaN8pK0wa,269xqcgGTN9PlivhUkOLhX,2020-02-14 15:53:21.7517816,2020-02-14 15:53:21.7517833
