UserId,FriendId,Created,Modified
1119650019,gavinhow,2020-07-09 12:22:10.8495652,2020-07-09 12:22:10.8495679
1119650019,sparkangaroo,2020-07-09 12:26:24.3486627,2020-07-09 12:26:24.3486647
1146646829,1119650019,2020-07-03 10:44:19.5899752,2020-07-03 10:44:19.5899752
1146646829,gavinhow,2020-07-03 10:44:19.5899752,2020-07-03 10:44:19.5899752
1146646829,sparkangaroo,2019-01-04 13:46:12.6192599,2019-01-04 13:46:12.6192599
gavinhow,1119650019,2020-07-09 12:26:21.6477281,2020-07-09 12:26:21.6477317
gavinhow,sparkangaroo,2020-07-09 12:28:13.3303309,2020-07-09 12:28:13.3303330
sparkangaroo,1119650019,2020-07-09 12:28:40.5065183,2020-07-09 12:28:40.5065186
sparkangaroo,gavinhow,2020-07-09 12:28:33.1337866,2020-07-09 12:28:33.1337869
